,IP,Datetime,Request,StatusCode,Target
0,208.80.193.39,[25/May/2010:16:50:33 +0100],GET / HTTP/1.0,403,1
1,82.80.249.160,[25/May/2010:22:48:54 +0100],GET / HTTP/1.1,403,1
2,198.186.192.44,[26/May/2010:02:13:20 +0100],GET / HTTP/1.1,403,1
3,66.249.71.179,[26/May/2010:03:36:51 +0100],GET /robots.txt HTTP/1.1,403,1
4,66.249.71.179,[26/May/2010:03:36:52 +0100],GET / HTTP/1.1,403,1
5,198.186.192.44,[27/May/2010:01:56:54 +0100],GET / HTTP/1.1,403,1
6,208.80.193.29,[27/May/2010:03:08:17 +0100],GET / HTTP/1.0,403,1
7,66.249.68.210,[27/May/2010:03:46:25 +0100],GET /robots.txt HTTP/1.1,403,1
8,66.249.68.210,[27/May/2010:03:46:25 +0100],GET / HTTP/1.1,403,1
9,198.186.192.44,[28/May/2010:02:04:30 +0100],GET / HTTP/1.1,403,1
10,184.73.2.36,[28/May/2010:05:14:00 +0100],GET /robots.txt HTTP/1.0,403,1
11,184.73.2.36,[28/May/2010:05:14:00 +0100],GET / HTTP/1.0,403,1
12,208.80.193.42,[28/May/2010:12:56:12 +0100],GET / HTTP/1.0,403,1
13,208.80.193.43,[29/May/2010:21:54:59 +0100],GET / HTTP/1.0,403,1
14,188.140.124.209,[29/May/2010:23:04:22 +0100],GET / HTTP/1.1,403,1
15,188.140.124.209,[29/May/2010:23:04:36 +0100],GET / HTTP/1.1,403,1
16,188.140.124.209,[29/May/2010:23:05:56 +0100],GET / HTTP/1.1,403,1
17,208.80.193.30,[31/May/2010:05:56:02 +0100],GET / HTTP/1.0,403,1
18,207.44.204.87,[31/May/2010:14:35:45 +0100],GET /wp-login.php HTTP/1.1,403,1
19,207.44.204.87,[31/May/2010:14:35:46 +0100],GET /old/wp-login.php HTTP/1.1,403,1
20,207.44.204.87,[31/May/2010:14:35:46 +0100],GET /cms/wp-login.php HTTP/1.1,403,1
21,207.44.204.87,[31/May/2010:14:35:47 +0100],GET /blog/wp-login.php HTTP/1.1,403,1
22,207.44.204.87,[31/May/2010:14:35:47 +0100],GET /blog_old/wp-login.php HTTP/1.1,403,1
23,207.44.204.87,[31/May/2010:14:35:48 +0100],GET /blog-old/wp-login.php HTTP/1.1,403,1
24,207.44.204.87,[31/May/2010:14:35:48 +0100],GET /blog/wp/wp-login.php HTTP/1.1,403,1
25,207.44.204.87,[31/May/2010:14:35:49 +0100],GET /wp/wp-login.php HTTP/1.1,403,1
26,207.44.204.87,[31/May/2010:14:35:50 +0100],GET /WP/wp-login.php HTTP/1.1,403,1
27,207.44.204.87,[31/May/2010:14:35:50 +0100],GET /backup/wp-login.php HTTP/1.1,403,1
28,207.44.204.87,[31/May/2010:14:35:50 +0100],GET /blog/backup/wp-login.php HTTP/1.1,403,1
29,207.44.204.87,[31/May/2010:14:35:51 +0100],GET /wordpress/wp-login.php HTTP/1.1,403,1
30,207.44.204.87,[31/May/2010:14:35:51 +0100],GET /Wordpress/wp-login.php HTTP/1.1,403,1
31,207.44.204.87,[31/May/2010:14:35:51 +0100],GET /wordpress2/wp-login.php HTTP/1.1,403,1
32,208.80.193.37,[01/Jun/2010:14:35:54 +0100],GET / HTTP/1.0,403,1
33,89.180.153.31,[01/Jun/2010:23:13:57 +0100],GET / HTTP/1.1,403,1
34,89.180.153.31,[01/Jun/2010:23:13:58 +0100],GET /favicon.ico HTTP/1.1,403,1
35,89.180.153.31,[01/Jun/2010:23:14:00 +0100],GET /favicon.ico HTTP/1.1,403,1
36,208.80.193.42,[02/Jun/2010:23:22:18 +0100],GET / HTTP/1.0,403,1
37,67.195.111.233,[03/Jun/2010:12:21:19 +0100],GET /robots.txt HTTP/1.0,403,1
38,67.195.111.233,[03/Jun/2010:12:21:20 +0100],GET / HTTP/1.0,403,1
39,217.129.199.36,[03/Jun/2010:22:34:22 +0100],GET / HTTP/1.1,403,1
40,217.129.199.36,[03/Jun/2010:22:34:22 +0100],GET /favicon.ico HTTP/1.1,403,1
41,217.129.199.36,[03/Jun/2010:22:34:23 +0100],GET /favicon.ico HTTP/1.1,403,1
42,208.80.193.35,[04/Jun/2010:06:02:56 +0100],GET / HTTP/1.0,403,1
43,174.129.95.108,[04/Jun/2010:07:47:48 +0100],GET / HTTP/1.1,403,1
44,66.249.65.53,[05/Jun/2010:01:17:48 +0100],GET /robots.txt HTTP/1.1,403,1
45,66.249.65.53,[05/Jun/2010:01:17:48 +0100],GET / HTTP/1.1,403,1
46,208.80.193.40,[05/Jun/2010:13:01:52 +0100],GET / HTTP/1.0,403,1
47,87.103.59.236,[05/Jun/2010:16:07:51 +0100],GET / HTTP/1.1,403,1
48,67.195.111.233,[06/Jun/2010:12:31:42 +0100],GET /robots.txt HTTP/1.0,403,1
49,67.195.111.233,[06/Jun/2010:12:31:43 +0100],GET / HTTP/1.0,403,1
50,208.80.193.39,[06/Jun/2010:19:16:17 +0100],GET / HTTP/1.0,403,1
51,67.195.111.233,[07/Jun/2010:04:00:01 +0100],GET /robots.txt HTTP/1.0,403,1
52,67.195.111.233,[07/Jun/2010:04:00:02 +0100],GET / HTTP/1.0,403,1
53,184.73.90.204,[07/Jun/2010:06:05:17 +0100],GET / HTTP/1.1,403,1
54,164.143.244.33,[07/Jun/2010:12:38:52 +0100],GET / HTTP/1.1,403,1
55,164.143.244.33,[07/Jun/2010:12:38:55 +0100],GET / HTTP/1.1,403,1
56,82.155.172.156,[07/Jun/2010:13:04:04 +0100],GET / HTTP/1.1,403,1
57,82.155.172.156,[07/Jun/2010:13:04:17 +0100],GET / HTTP/1.1,403,1
58,66.249.65.124,[07/Jun/2010:23:07:46 +0100],GET /robots.txt HTTP/1.1,403,1
59,66.249.65.124,[07/Jun/2010:23:07:46 +0100],GET / HTTP/1.1,403,1
60,208.80.193.29,[08/Jun/2010:02:13:01 +0100],GET / HTTP/1.0,403,1
